
2022/10/12 (11:31:29) | ===> btop++ v.1.2.9
2022/10/12 (11:31:29) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2022/10/12 (11:41:11) | ===> btop++ v.1.2.9
2022/10/12 (11:41:11) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2022/10/12 (11:41:17) | ===> btop++ v.1.2.9
2022/10/12 (11:41:17) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2022/10/12 (11:42:09) | WARNING: Failed to join _runner thread on exit!

2022/10/12 (11:42:13) | ===> btop++ v.1.2.9
2022/10/12 (11:42:13) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2022/10/12 (11:42:59) | WARNING: Failed to join _runner thread on exit!

2022/11/01 (11:24:51) | ===> btop++ v.1.2.12
2022/11/01 (11:24:51) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2022/11/01 (11:25:12) | ===> btop++ v.1.2.12
2022/11/01 (11:25:12) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/01 (11:43:13) | ===> btop++ v.1.2.12
2022/11/01 (11:43:13) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2022/11/01 (11:43:15) | ===> btop++ v.1.2.12
2022/11/01 (11:43:15) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/01 (12:10:27) | ===> btop++ v.1.2.12
2022/11/01 (12:10:27) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/01 (23:45:22) | ===> btop++ v.1.2.12
2022/11/01 (23:45:22) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2022/11/01 (23:45:28) | ===> btop++ v.1.2.12
2022/11/01 (23:45:28) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/01 (23:47:09) | ===> btop++ v.1.2.12
2022/11/01 (23:47:09) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/02 (00:10:04) | ===> btop++ v.1.2.12
2022/11/02 (00:10:04) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/02 (00:15:42) | ===> btop++ v.1.2.12
2022/11/02 (00:15:42) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/02 (08:37:28) | ===> btop++ v.1.2.12
2022/11/02 (08:37:28) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/11/03 (10:05:17) | ===> btop++ v.1.2.12
